radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.4,15,8,6,1,0.2,0.2,0.2,0.6,0.95,0.6,0.6,1,8,0,8,2,2,1,-0.490951046,FALSE,183,1800.430346
0.4,9,4,6,0.2,0.2,0.8,0.2,0.6,0.6,0.6,0.95,8,8,8,1,1,1,1,-0.82585335,TRUE,12491,9.8451108
0.4,9,8,2,0.2,1,0.8,0.2,0.95,0.6,0.6,0.95,1,8,0,2,8,2,2,-0.537226224,TRUE,3114,17.30994098
0.4,9,8,6,0.2,1,0.2,0.2,0.95,0.95,0.95,0.95,1,-8,8,2,8,1,2,-0.45015884,TRUE,2109,89.32466447
0.2,9,4,2,1,1,0.2,0.2,0.6,0.6,0.95,0.95,8,8,8,4,4,1,1,-0.702642871,TRUE,11690,29.97170255
0.2,15,4,2,1,0.2,0.8,0.8,0.6,0.95,0.6,0.6,8,-8,8,4,1,3,1,-1.66219518,TRUE,33257,63.43680902
0.2,15,8,6,1,0.2,0.2,0.2,0.6,0.95,0.95,0.95,8,-8,8,8,2,2,1,-1.954277474,FALSE,179,1806.411947
0.2,9,4,6,1,0.2,0.2,0.8,0.95,0.95,0.95,0.6,1,-8,8,4,1,1,1,-0.534088451,TRUE,5900,13.05896131
0.2,9,4,2,1,1,0.2,0.2,0.6,0.6,0.95,0.95,8,8,8,4,4,1,1,-0.703587474,TRUE,11947,28.75058862
0.4,9,8,6,1,0.2,0.2,0.2,0.95,0.6,0.6,0.6,8,-8,8,8,2,2,1,-0.006703731,TRUE,26,1.057458287
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.306581313,FALSE,12818,1800.084194
0.2,9,8,2,1,0.2,0.8,0.2,0.95,0.95,0.6,0.95,1,-8,8,8,2,6,1,-0.134512548,TRUE,845,8.002515839
0.4,15,4,6,1,0.2,0.2,0.8,0.6,0.6,0.6,0.95,1,-8,8,4,1,1,1,-2.146508295,FALSE,2606,1800.349399
0.2,9,8,2,1,0.2,0.8,0.2,0.95,0.95,0.6,0.95,1,-8,8,8,2,6,1,-0.128494899,TRUE,855,8.115793095
