size,pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
9,0.55,0.95,0.55,0.5,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,88.036927998
12,0.75,0.75,0.75,2.25,-4.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828353844701994,false,3959,3600.798684356
15,0.55,0.55,0.55,4.0,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1982237890563687,false,27,3666.994995416
15,0.95,0.95,0.55,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672477,false,27,3683.873740797
15,0.95,0.95,0.55,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3689.934255206
15,0.95,0.55,0.95,4.0,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3671.882807345
12,0.75,0.75,0.95,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.782886987026046,false,4135,3600.641890625
9,0.95,0.55,0.55,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,84.764429028
9,0.55,0.55,0.55,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114852,true,18952,93.567171245
9,0.95,0.95,0.95,0.5,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,83.084606204
15,0.55,0.55,0.95,0.5,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.363078154826346,false,27,3675.597821549
15,0.55,0.95,0.95,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3630781548263453,false,27,3679.948321823
9,0.55,0.95,0.95,4.0,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.947458232005357,true,18952,80.9322895
15,0.55,0.55,0.95,4.0,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3704.996569048
9,0.55,0.55,0.95,4.0,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.947458232005357,true,18952,86.196325839
15,0.95,0.95,0.95,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3681.497699082
9,0.95,0.55,0.95,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,85.135252263
9,0.95,0.95,0.55,0.5,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,79.106458869
15,0.55,0.55,0.95,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3630781548263453,false,27,3695.522383299
12,0.75,0.75,0.75,2.25,0.0,0.0,0.3,0.0,12,6,4,6,6,4,4,-1.7829027893796037,false,4191,3600.04352551
9,0.55,0.95,0.55,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,88.133767721
15,0.95,0.55,0.95,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3694.883511847
9,0.55,0.55,0.55,0.5,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,90.521543727
15,0.95,0.55,0.95,0.5,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3683.466019944
9,0.55,0.95,0.55,4.0,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.947458232005357,true,18952,84.293152835
15,0.95,0.55,0.95,0.5,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.320072532404237,false,27,3649.964688331
