pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.6106919328,0.7718237714,0.6503266361,7.19820669,-6.558847155,3.9099287575,0.3,0.2,13,6,4,6,6,3,3,-2.3106236968733773,false,5520,14401.533672146
0.7570647867,0.6093768942,0.6237105338,7.6152832954,-2.341516184,5.3911319929,0.3,0.2,13,6,4,6,6,3,3,-2.209261050646002,false,5454,14400.630013462
0.6199452637,0.6596601077,0.6395250899,6.6405593774,-0.330889014,4.7157705257,0.3,0.2,13,6,4,6,6,3,3,-2.3352177311883784,false,5326,14402.843624616
0.7565001958,0.8630477802,0.695569166,5.9818282438,-7.723481489,0.192885844,0.3,0.2,13,6,4,6,6,3,3,-2.059958045656681,false,5558,14401.072745464
0.6364103651,0.6453455718,0.7026108953,7.3963587917,-7.769353569,3.6492830755,0.3,0.2,13,6,4,6,6,3,3,-2.2489010801697846,false,5480,14400.472693407
0.7202335706,0.826588628,0.7606792811,4.9456625499,-2.13985035,0.7207450339,0.3,0.2,13,6,4,6,6,3,3,-2.0272964048245985,false,5471,14401.096428764
0.770660452,0.8450775655,0.6137359081,3.3343234416,-1.396925131,0.4893449667,0.3,0.2,13,6,4,6,6,3,3,-2.157944769560479,false,5481,14400.702881679
0.7031396193,0.9372175984,0.6518694112,7.5109519708,-5.070843433,4.9395947961,0.3,0.2,13,6,4,6,6,3,3,-2.168981168355836,false,5606,14400.338443292
0.8725059099,0.8119470831,0.6690366731,7.8922299508,-5.176549981,0.9858129081,0.3,0.2,13,6,4,6,6,3,3,-1.9655586735131796,false,5469,14401.950429988
0.8999974374,0.8875353175,0.6403280556,6.4656304156,5.2554794265,0.6350594679,0.3,0.2,13,6,4,6,6,3,3,-1.967582005611541,false,5396,14401.394290587
0.784906529,0.7529990817,0.7056328943,5.6352736337,7.9346785396,3.476876958,0.3,0.2,13,6,4,6,6,3,3,-2.0274121456737677,false,5452,14400.079510068
